panel,proxy,baseline,dA,dB,dC,dR,dS1,dS2,dZ
Boundary,I(n;r),0.012978735743749352,0.0,0.0,0.012978735743749302,0.012978735743749255,0.007633307778752145,0.007633307778752145,3.694961003830599e-16
Boundary,I(n;z),0.015806377593978245,0.0,0.0,0.015806377593977853,0.015806377593978467,0.00842788062386876,0.00842788062386876,0.015806377593978436
Boundary,H(n) spread,2.954146858336154,0.0,0.0,2.9541468583357315,0.27979764843633204,0.17768709558279738,0.17768709558279738,-8.881784197001252e-16
Boundary,1-P(empty),0.859805129270282,0.0,0.0,0.859805129270274,0.2641566806779496,0.22347358779938964,0.22347358779938964,5.551115123125783e-16
Drive,σ (EP rate),1.318828534472304,0.0,0.0,0.12126606590446753,0.12126606590453415,0.04203440878666975,0.04203440878666975,1.1975624685677704
Drive,cycle affinity,0.14136436590800971,0.0,0.0,-1.942890293094024e-16,-2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0
Drive,active frac,0.5625,0.0,0.0,-7.771561172376096e-16,-1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0
Memory,pred I(n),0.7998548487348511,0.0,0.0,0.799854848734457,-0.20846117537809516,-0.31785978620553523,-0.31785978620553523,-1.4432899320127035e-15
Memory,pred I(r),0.029501923701467703,0.0,0.0,-1.5265566588595902e-16,9.71445146547012e-17,-9.71445146547012e-17,-9.71445146547012e-17,-1.3877787807814457e-16
Memory,pred I(z),0.09359828014250017,0.0,0.0,-3.469446951953614e-16,-3.469446951953614e-16,-2.220446049250313e-16,-2.220446049250313e-16,-0.6303694963601992
Integration,"TC(n,r,z)",0.17139609276299694,0.0,0.0,0.020069370025626698,0.020069370025626476,0.011147765406594345,0.011147765406594345,0.15841735701924797
Integration,I(r;z),0.1513267227373703,0.0,0.0,-3.608224830031759e-16,-3.885780586188048e-16,0.0,0.0,0.15132672273737058
